ngramSize,t2NgramSize,t1NgramSize,QRPercentileNorm,QRPercentileT2,QRPercentileT1,QRPercentileOrig,normBoost,t2Boost,t1Boost,map
4,4,4,2,2,2,2,4,4,4,0.976296182
4,4,4,4,4,4,4,4,4,4,0.952311264
4,4,4,6,6,6,6,4,4,4,0.937692764
4,4,4,8,8,8,8,4,4,4,0.918443001
4,4,4,10,10,10,10,4,4,4,0.961871061
4,4,8,2,2,2,2,4,4,8,0.976296182
4,4,8,4,4,4,4,4,4,8,0.952311264
4,4,8,6,6,6,6,4,4,8,0.937692764
4,4,8,8,8,8,8,4,4,8,0.918443001
4,4,8,10,10,10,10,4,4,8,0.961871061
4,4,12,2,2,2,2,4,4,12,0.976296182
4,4,12,4,4,4,4,4,4,12,0.952311264
4,4,12,6,6,6,6,4,4,12,0.937692764
4,4,12,8,8,8,8,4,4,12,0.918443001
4,4,12,10,10,10,10,4,4,12,0.961871061
4,4,16,2,2,2,2,4,4,16,0.976296182
4,4,16,4,4,4,4,4,4,16,0.952311264
4,4,16,6,6,6,6,4,4,16,0.937692764
4,4,16,8,8,8,8,4,4,16,0.918443001
4,4,16,10,10,10,10,4,4,16,0.961871061
4,4,20,2,2,2,2,4,4,20,0.976296182
4,4,20,4,4,4,4,4,4,20,0.952311264
4,4,20,6,6,6,6,4,4,20,0.937692764
4,4,20,8,8,8,8,4,4,20,0.918443001
4,4,20,10,10,10,10,4,4,20,0.961871061
4,4,24,2,2,2,2,4,4,24,0.976296182
4,4,24,4,4,4,4,4,4,24,0.952311264
4,4,24,6,6,6,6,4,4,24,0.937692764
4,4,24,8,8,8,8,4,4,24,0.918443001
4,4,24,10,10,10,10,4,4,24,0.961871061
4,8,4,2,2,2,2,4,8,4,0.987813459
4,8,4,4,4,4,4,4,8,4,0.976894838
4,8,4,6,6,6,6,4,8,4,0.956042527
4,8,4,8,8,8,8,4,8,4,0.951479896
4,8,4,10,10,10,10,4,8,4,0.966814154
4,8,8,2,2,2,2,4,8,8,0.987813459
4,8,8,4,4,4,4,4,8,8,0.976894838
4,8,8,6,6,6,6,4,8,8,0.956042527
4,8,8,8,8,8,8,4,8,8,0.951479896
4,8,8,10,10,10,10,4,8,8,0.966814154
4,8,12,2,2,2,2,4,8,12,0.987813459
